Stock Name,RS Rating,Basic Industry,EPS Latest Quarter,QoQ % EPS Latest,YoY% EPS Latest,Sales Latest Quarter,QoQ % Sales Latest,YoY % Sales Latest
TIPSMUSIC,83,Broadcasting & Entertainment,3.46,-8.2,28.1,77.67,-3.7,19.6
SAREGAMA,81,Broadcasting & Entertainment,3.23,38.6,15.8,483.43,99.9,136.6
SABTNL,77,Broadcasting & Entertainment,-8.98,-22350,-536.9,2.36,80.2,490
CREATIVEYE,74,Broadcasting & Entertainment,-0.4,-266.7,-73.9,0,-100,-100
ZEEMEDIA,71,Broadcasting & Entertainment,-0.36,55,26.5,159.45,22,-4.7
TIPSFILMS,69,Broadcasting & Entertainment,-5.62,30.6,-319.4,0.88,100,-92.9
MUKTAARTS,66,Broadcasting & Entertainment,-0.96,47.5,-9700,48.1,15.1,-10.8
SILLYMONKS,63,Broadcasting & Entertainment,0.11,57.1,37.5,1.39,-79.6,-77
PFOCUS,55,Broadcasting & Entertainment,-2.01,-281.1,-13.6,909.46,1.4,8.1
NEXTMEDIA,48,Broadcasting & Entertainment,-0.56,16.4,-3.7,9.64,13.8,-8.6
SUNTV,40,Broadcasting & Entertainment,9.21,-11.3,-20.7,827.56,-11.5,-10.4
BALAJITELE,32,Broadcasting & Entertainment,-1.16,-307.1,-1550,93.25,-35.4,-32.6
CINELINE,30,Broadcasting & Entertainment,1.32,388.9,144.4,63.31,13.3,-8.1
CINEVISTA,26,Broadcasting & Entertainment,-0.39,-18.2,-85.7,0.03,-50,-66.7
TVTODAY,26,Broadcasting & Entertainment,1.46,5,-70.6,236.76,14.5,-9.9
ZEEL,25,Broadcasting & Entertainment,1.7,-22.4,178.7,1978.8,-1.1,-3.3
SHEMAROO,18,Broadcasting & Entertainment,-13.32,-38.6,-21,164.37,1.4,5.3
PVRINOX,15,Broadcasting & Entertainment,3.66,407.6,163.3,1717.3,5.9,11.1
RADIOCITY,13,Broadcasting & Entertainment,0.1,266.7,42.9,65.38,19.2,8
ENIL,10,Broadcasting & Entertainment,1.92,323.3,-62.3,158.9,39.9,-1.1
NDTV,8,Broadcasting & Entertainment,-8.64,-5.5,-517.1,132.74,19.2,35.4
UFO,7,Broadcasting & Entertainment,3.95,1895.5,211,138.69,43.5,17.3
EROSMEDIA,2,Broadcasting & Entertainment,NA,NA,NA,NA,NA,NA
PNC,1,Broadcasting & Entertainment,-0.24,35.1,-154.5,3.03,-19,-56.9
DECCANCE,96,Cement,0.58,120.1,-94.8,115.45,-4.2,-46.8
ORIENTCEM,93,Cement,0.49,345.5,-78.5,643.35,18.2,-14.4
SHREECEM,86,Cement,53.6,152.9,-73.7,4572.68,12.8,-12.5
INDIACEM,84,Cement,3.95,134.2,19650,940.81,-6.6,-17.8
STARCEMENT,84,Cement,0.22,57.1,-88.4,718.76,12,10.3
KESORAMIND,82,Cement,-2.23,0.9,-42,65.49,11.5,-1.4
BURNPUR,78,Cement,-1.92,-7.9,10.3,0.05,-28.6,-99.9
JKCEMENT,78,Cement,24.54,50.6,-33.3,2930.28,14.5,-0.2
RAMCOCEM,76,Cement,7.72,608.3,91.6,1983.45,-3,-6
ULTRACEMCO,75,Cement,50.9,79.2,-17.4,17193.33,10,2.7
NUVOCO,68,Cement,-1.72,27.4,-297.7,2409.36,6.2,-0.5
HEIDELBERG,67,Cement,0.23,-53.1,-84.2,542.82,17.6,-10.6
NCLIND,66,Cement,0.74,25.4,-86.8,341.4,3.3,-32.4
DALBHARAT,64,Cement,3.25,32.1,-76.8,3181,3,-11.7
JKLAKSHMI,62,Cement,5.05,528,-58.9,1496.83,21.3,-12.1
MANGLMCEM,56,Cement,2.84,138.7,-51.9,438.38,22.1,-0.3
KCP,55,Cement,1.24,-73.9,-77.5,600.67,-0.3,-22.7
AMBUJACEM,51,Cement,8.59,361.8,103.6,9328.56,24.1,14.8
ACC,40,Cement,58.14,446.9,102.4,5927.38,28.5,20.6
SAGCEM,39,Cement,-4.21,3.4,-579,563.88,18.7,-15.8
BIRLACORPN,31,Cement,4.05,224.2,-71.6,2256.65,15.6,-2.4
BVCL,30,Cement,0.61,354.2,-46,54.72,31.1,-7.5
SHREDIGCEM,30,Cement,-0.33,-925,-114.9,186.76,28.6,-2.3
